dno;floc;gsp;minimum_observed_power_flow;maximum_observed_power_flow;asset_import_limit;asset_export_limit;technical_limit_import_summer;technical_limit_import_winter;technical_limit_import_access_period;technical_limit_export;export_capacity_utilisation;import_capacity_utilisation;technical_limits_available;geo_point_2d
EPN;EPN-S0000000C5012;NORWICH;-538.22;452.2;960;663;326.1;456.4;394.1;538.2;100.00400108568033;99.07904733935588;GREEN;52.5741946104949, 1.27225149465792
EPN;EPN-S0000000C7070;PELHAM;10.54;168.02;240;240;238.8;297.9;285;347;0.0;70.0076775765625;GREEN;51.9351362548826, 0.118653641596994
EPN;EPN-S0000000C7130;RAYLEIGH;126.8;408.2;720;366;524.7;643;617.1;365.5;0.0;63.482985013312444;GREEN;51.5933908690426, 0.566756102090066
LPN;LPN-S000000003577;REDBRIDGE;38.2;122.5;200;200;N/A;N/A;N/A;N/A;0.0;61.249998092651346;RED;51.588584, 0.043041086
SPN;SPN-S000000009957;RICHBOROUGH;-144.69;84.06;240;240;109.9;134;121.8;307;60.28670101701958;35.02594078352025;GREEN;51.3111744674385, 1.34394075724077
EPN;EPN-S0000000C8086;SUNDON;121.28;413.0;720;480;N/A;N/A;N/A;N/A;0.0;57.36070657441344;RED;51.9356300478367, -0.502430694861104
EPN;EPN-S0000000C7156;TILBURY;30.04;127.33;720;480;N/A;N/A;N/A;N/A;0.0;17.685330809274;GREEN;51.4593857652805, 0.388946247254346
EPN;;TILBURY SGTs 2&8;;;;;40.1;53.9;48.3;71;;;;51.4593857652805, 0.388946247254346
EPN;EPN-S0000000C7118;TOTTENHAM;78.8;290.88;660;420;N/A;N/A;N/A;N/A;0.0;44.07220675743636;RED;51.603816, -0.048307563
EPN;EPN-S0000000C8171;WATFORD SOUTH;90.77;230.95;660;420;172.2;242.6;223.8;-70.3;0.0;34.99302901964956;GREEN;51.642705, -0.40465142
LPN;LPN-S000000003698;WEST HAM;204.92;404.19;720;720;N/A;N/A;N/A;N/A;0.0;56.13801377146308;RED;51.519469, 0.0011774898
SPN;SPN-S000000009953;WEST WEYBRIDGE;138.53;364.26;660;360;N/A;N/A;N/A;N/A;0.0;55.190340207796574;RED;51.348031, -0.48894374
LPN;LPN-S000000003297;WILLESDEN 66;37.96;110.54;360;360;N/A;N/A;N/A;N/A;0.0;30.705343441582833;RED;51.5339706787026, -0.258232266380087
