psp_name;grid_easting;grid_northing;typetable;pvoltage;firm_cap;mindemand;maxdemand;rpf;gentot;demtot;genhr;demhr;fl_break_d;fl_break_r;fl_make_d;fl_make_r;fl;worst_tap;gen_voltage_constraint;upgenconst;dem_voltage_constraint;gsp_hm_constraint_manual;odp_primary_name;updemconst;upstreamname;gsp_name;genconstraint;demconstraint;worst_case_constraint_gen_colour;worst_case_constraint_dem_colour;substation_location;fault_level_
Ellin Street 2;435042.0;386430.0;Primary;11.0;41.0;2.0;5.0;0.0;0.0;0.0;2.0;29.2356;6.454073;16.00835;17.31605;40.02087;1.01314330101013;11.0;No Voltage Constraint;No;No Voltage Constraint;G;Ellin Street 2;Upstream Constraint;Sheffield City;Sheffield City;Red - Fault Level;Red - Fault Level;Red;Red;53.373573483780504, -1.4747649732915393;101.31433010101301
Elsecar;439030.0;400133.0;Primary;11.0;23.0;2.95000004768372;9.06999969482422;0.0;0.413;1.9;0.0;12.0300003051758;11.29902;13.1216;30.174;32.80399;1.0;4.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Elsecar;No;West Melton;West Melton Section 3;Red - Fault Level;Red - Fault Level;Red;Red;53.49645788016137, -1.413132986388448;100.0
Endike Lane;506234.0;432693.0;Primary;11.0;23.0;0.935999989509583;11.6000003814697;1.0;0.0;0.0;0.0;11.3999996185303;10.37985;13.1216;26.03293;32.80399;0.967336595058441;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Endike Lane;No;Beverley 132/33kV;Creyke Beck;Red - Fault Level;Red - Fault Level;Red;Red;53.779737371640316, -0.3892956019121705;96.7336595058441
Fawdon/Seaton Burn;421400.0;568971.0;Primary;20.0;25.0;2.0;20.0;1.0;0.33;3.2404;0.0;0.0;5.34;9.2;13.41;23.5;0.695878207683563;2.0;Some Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Fawdon/Seaton Burn;GSP Constraint;Blyth 66kV;Blyth 66kV;Amber - Voltage;Green;Amber;Green;55.01483410970371, -1.6668798868615864;69.5878207683563
Fir Tree Lane;430631.0;439313.0;Primary;11.0;23.0;4.6100001335144;15.289999961853;0.0;0.181;0.7;4.4290001335144;7.01000003814697;7.428662;16.00835;20.87927;40.02087;0.656410276889801;6.0;No Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Fir Tree Lane;No;Kirkstall C/Ring Road Horsforth;Kirkstall B;Green;Green;Green;Green;53.84915613002118, -1.5358818251991393;65.6410276889801
Fishburn;436531.0;533442.0;Primary;20.0;31.0;-16.2000007629395;16.3799991607666;1.0;0.403;1.55;0.0;13.0700008392334;6.7;25.0;20.19;62.5;0.801025629043579;1.0;Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Fishburn;No;Spennymoor 132/66kV;Spennymoor GSP;Red - Voltage;Green;Red;Green;54.69469581071204, -1.434751025763085;80.1025629043579
Fourstones 20kV;389546.0;568613.0;GSP;20.0;60.0;-20.0;38.0;1.0;0.0;0.0;40.0;22.0;10.44;16.0;30.55;40.0;0.763749957084656;0.0;Data Not Available;NGET;Data Not Available;R;Fourstones 20kV;NGET;NGET;Fourstones 20kV;Green;Green;Green;Green;55.011960060152944, -2.1650013777636374;76.3749957084656
Fourstones 33kV;389546.0;568613.0;GSP;33.0;60.0;-54.0;9.0;1.0;192.0;0.0;0.0;51.0;9.49;31.5;26.06;71.75;0.363205581903458;0.0;Data Not Available;NGET;Data Not Available;R;Fourstones 33kV;NGET;NGET;Fourstones 33kV;Green;Green;Green;Green;55.011960060152944, -2.1650013777636374;36.3205581903458
Garwood Street;435731.0;565882.0;Primary;11.0;32.0;4.34999990463257;14.2299995422363;1.0;0.73;6.355;35.6199999046326;11.4150004577637;11.81;12.5;35.14;31.25;1.12448000907898;4.0;No Voltage Constraint;No;No Voltage Constraint;G;Garwood Street;No;South Shields;South Shields;Red - Fault Level;Red - Fault Level;Red;Red;54.98625790884074, -1.443165192094086;112.44800090789799
Gateshead Central;425645.0;562926.0;Primary;11.0;22.0;3.75999999046326;12.0;1.0;0.0;0.0;0.0;10.0;10.39;13.1;30.16;33.4;0.902993977069855;1.0;Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Gateshead Central;No;Barrack Road;Stella North;"Red - Voltage; Amber - Fault Level";Amber - Fault Level;Red;Amber;54.96031434555615, -1.6010368898976974;90.2993977069855
Girlington;413929.0;433281.0;Supply Point;33.0;117.0;17.0400009155273;53.0999984741211;1.0;42.0;6.96;0.0;56.9400015258789;12.01004;17.5;33.65308;43.75;0.921568632125854;0.0;Data Not Available;NO;Data Not Available;R;Girlington;NO;Bradford West;Bradford West;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.79565414906382, -1.7900257059343858;92.1568632125854
Goole;473610.0;423291.0;Primary;11.0;23.0;4.94999980926514;14.0100002288818;0.0;0.0;0.0;0.0;8.98999977111816;11.28151;13.1216;30.49719;32.80399;0.929679334163666;4.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Goole;No;Camblesforth;Camblesforth;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.700874810536966, -0.8864998882683082;92.9679334163666
Gosforth 33/11kV;425335.0;568422.0;Primary;11.0;32.0;6.03000020980835;16.0200004577637;1.0;0.0;0.0;38.0300002098083;15.9799995422363;9.24;25.0;27.37;62.5;0.700672686100006;2.0;Some Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Gosforth 33/11kV;No;Gosforth;Tynemouth;Amber - Voltage;Green;Amber;Green;55.00971697730079, -1.6053941784606491;70.0672686100006
Grainthorpe;539250.0;396039.0;Primary;11.0;8.0;1.01999998092651;3.85999989509583;0.0;0.0;0.0;0.0;0.0;3.279531;13.1216;7.656725;32.80399;1.0;1.0;Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Grainthorpe;GSP Constraint;Wold Newton;Keadby;"Red - Fault Level; Red - Voltage";Red - Fault Level;Red;Red;53.44273106402543, 0.09505477247063202;100.0
Greenhill;434413.0;381056.0;Primary;11.0;10.0;1.26999998092651;5.98000001907349;0.0;0.0;0.0;0.0;4.01999998092651;6.223533;13.1216;16.56566;32.80399;0.993135035037994;10.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;G;Greenhill;No;Jordanthorpe;Jordanthorpe;Red - Fault Level;Red - Fault Level;Red;Red;53.32531172163202, -1.4848011392012852;99.31350350379941
Greyfriars Road 3/4;457166.0;403613.0;Primary;11.0;30.0;2.54381561279297;7.98989057540894;1.0;0.0;0.0;0.0;0.0;8.110593;19.99731;21.53954;49.99329;1.00065362453461;9.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Greyfriars Road 3/4;GSP Constraint;Doncaster Central;West Melton / Thorpe Marsh;Red - Fault Level;Red - Fault Level;Red;Red;53.5260798902815, -1.1391470837184121;100.065362453461
Halifax 132/33kV;409493.0;425530.0;Supply Point;33.0;72.0;11.2700004577637;28.2000007629395;0.0;1.15;2.6;0.0;41.1999992370605;10.44836;31.49183;28.49024;78.72958;0.361874610185623;0.0;Data Not Available;NO;Data Not Available;R;Halifax 132/33kV;NO;Elland;Elland;Green;Green;Green;Green;53.72608713921078, -1.857603521964663;36.1874610185623
Harlow Green;426213.0;559608.0;Primary;11.0;18.0;4.55000019073486;15.3900003433228;0.5;0.45;0.8;13.1000001907349;1.80999965667725;9.07;13.1;26.02;32.8;0.931003630161285;3.0;Some Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Harlow Green;No;West Boldon;West Boldon;"Amber - Voltage; Amber- Fault level";Amber - Fault Level;Amber;Amber;54.930469366825086, -1.592468271528658;93.1003630161285
Harpswell;492606.0;390273.0;Primary;11.0;8.0;-2.50999999046326;6.80000019073486;1.0;0.0;0.0;0.0;0.0;5.484317;13.1216;13.41662;32.80399;1.0;8.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Harpswell;GSP Constraint;Blyton;Keadby;Red - Fault Level;Red - Fault Level;Red;Red;53.401167565965295, -0.6086161742979083;100.0
Harrogate 132/11kV Direct;429330.0;456210.0;Primary;11.0;36.0;4.0;32.0;1.0;0.3;0.969;0.0;3.031;14.43;25.0;43.53;62.5;0.696479976177216;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Harrogate 132/11kV;Upstream Constraint;Harrogate 132/11kV;Knaresborough;Green;Green;Green;Green;54.001092593148684, -1.5540420001152702;69.6479976177216
Harrogate 132/33kV;429330.0;456210.0;Supply Point;33.0;120.0;8.25;49.7999992370605;1.0;33.853;3.4;0.0;66.8000007629394;10.25;31.5;30.48;77.75;0.392025709152222;0.0;Data Not Available;NO;Data Not Available;R;Harrogate 132/33kV;NO;Knaresborough;Knaresborough;Green;Green;Green;Green;54.001092593148684, -1.5540420001152702;39.2025709152222
Hartmoor;445788.0;534359.0;GSP;66.0;140.0;-20.0;89.0;1.0;1272.434;13.2037;0.0;37.7963;10.92;21.9;32.23;55.8;0.577598571777344;0.0;Data Not Available;NGET;Data Not Available;R;Hartmoor;NGET;NGET;Hartmoor;Green;Green;Green;Green;54.70218138721344, -1.2909985777078994;57.759857177734396
Hazlehead;417711.0;404892.0;Primary;11.0;24.0;-7.99151086807251;5.07963180541992;1.0;0.235;1.6;0.0;17.3203681945801;8.05942;13.1216;19.63101;32.80399;0.712683498859406;9.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hazlehead;No;Thornhill 132kV;Elland;Green;Green;Green;Green;53.540378141661954, -1.734220894186295;71.2683498859406
Hedon Road;515847.0;428956.0;Primary;11.0;23.0;1.54999995231628;13.2700004577637;0.5;0.0;0.0;0.0;0.0;8.539279;13.1216;23.85326;32.80399;0.850310981273651;6.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hedon Road;GSP Constraint;Hull East 132/33kV;Saltend North;Green;Green;Green;Green;53.744117364525835, -0.24488368041728323;85.0310981273651
Heighington;427237.0;522023.0;Primary;11.0;27.0;5.40000009536743;11.1700000762939;1.0;0.0;0.0;0.0;0.0;11.33;12.5;35.26;31.25;1.12831997871399;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Heighington;GSP Constraint;Darlington North;Norton;Red - Fault Level;Red - Fault Level;Red;Red;54.5926659720274, -1.5799983080176914;112.831997871399
Hessle Road 1;505922.0;427038.0;Primary;11.0;23.0;0.800000011920929;3.33999991416931;0.0;0.0;0.0;0.0;19.6600000858307;9.228617;13.1216;25.22985;32.80399;0.855191946029663;7.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hessle Road 1;No;Hull South;Creyke Beck;Green;Green;Green;Green;53.72899355280664, -0.39596539140322445;85.5191946029663
Hessle Road 2;505922.0;427038.0;Primary;11.0;23.0;1.67999994754791;5.82999992370605;0.0;0.0;0.0;0.0;17.1700000762939;9.228617;13.1216;25.22985;32.80399;0.826030850410461;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hessle Road 2;No;Hull West;Creyke Beck;Green;Green;Green;Green;53.72899355280664, -0.39596539140322445;82.6030850410461
Hexham;394147.0;564754.0;Primary;20.0;36.0;13.1239995956421;21.5699996948242;1.0;0.0;0.0;0.0;0.0;6.33;9.2;17.11;23.5;1.05919992923737;1.0;Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hexham;GSP Constraint;Coalburns;Stella South;"Red - Fault Level; Red - Voltage";Red - Fault Level;Red;Red;54.97735894197282, -2.092975804101923;105.919992923737
Hibaldstow;494054.0;399908.0;Primary;11.0;15.0;1.37000000476837;9.68000030517578;1.0;0.362;0.8;0.0;0.0;6.082766;13.1216;14.73018;32.80399;1.0;7.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hibaldstow;GSP Constraint;Santon;Keadby;Red - Fault Level;Red - Fault Level;Red;Red;53.48748959714112, -0.5839685969789633;100.0
High Flatts;426387.0;552252.0;Primary;11.0;24.0;4.86999988555908;15.210000038147;1.0;0.0;0.0;0.0;8.78999996185303;8.67;13.1;23.65;32.8;0.801025629043579;2.0;Some Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;High Flatts;No;Potter House;Spennymoor GSP;Amber - Voltage;Green;Amber;Green;54.86435865744022, -1.5904239333161467;80.1025629043579
Holmfield;408320.0;428262.0;Supply Point;33.0;117.0;1.63999998569489;55.4799995422363;1.0;0.748;0.0;0.0;61.5200004577637;12.32252;17.5;33.73049;43.75;0.921568632125854;0.0;Data Not Available;NO;Data Not Available;R;Holmfield;NO;Bradford West;Bradford West;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.75066218675214, -1.875308803034583;92.1568632125854
Honley;413218.0;411922.0;Primary;11.0;24.0;2.32999992370605;10.6999998092651;1.0;0.0;0.0;0.0;13.3000001907349;8.603541;13.1216;21.75595;32.80399;0.686525702476501;9.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Honley;No;Lindley;Elland;Green;Green;Green;Green;53.60369678837346, -1.8017224060730241;68.6525702476501
Humberston;529405.0;406147.0;Supply Point;33.0;117.0;0.0;25.1100006103516;1.0;33.077;0.0;0.0;0.0;12.53421;17.49546;34.36907;43.73866;0.7857825756073;0.0;Data Not Available;NO;Data Not Available;R;Humberston;Upstream Constraint;Grimsby West;Grimsby West;Green;Green;Green;Green;53.53603987388565, -0.04890828546723911;78.57825756073001
Hunmanby;509302.0;478289.0;Primary;11.0;24.0;1.72728228569031;6.78000020980835;1.0;0.0;0.0;0.0;17.2199997901917;10.01932;24.98352;24.10269;62.4588;0.993019342422485;10.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Hunmanby;No;Driffield/Beverley Group;Creyke Beck;Red - Fault Level;Red - Fault Level;Red;Red;54.18873196669101, -0.3264149921546659;99.3019342422485
Husthwaite;450565.0;473758.0;Supply Point;33.0;54.0;-26.5499992370605;31.1800003051758;1.0;53.7;1.0625;0.0;21.7574996948242;7.86;25.0;20.12;62.5;0.32192000746727;0.0;Data Not Available;NO;Data Not Available;R;Husthwaite;NO;Knaresborough;Knaresborough;Green;Green;Green;Green;54.15715400148383, -1.227191238773367;32.192000746727004
Immingham;519671.0;414677.0;Supply Point;33.0;117.0;0.0;70.0599975585938;1.0;53.055;18.308;0.0;0.0;19.16006;25.00102;54.47682;62.50254;0.871593713760376;0.0;Data Not Available;NO;Data Not Available;R;Immingham;Upstream Constraint;Grimsby West;Grimsby West;Green;Green;Green;Green;53.614977144637486, -0.19243292860851027;87.1593713760376
Ings Lane;397798.0;451134.0;Primary;11.0;8.0;2.32999992370605;5.85588550567627;0.0;0.228;0.88;0.0;1.26411449432373;4.601909;13.1216;11.3648;32.80399;1.16096258163452;12.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Ings Lane;No;Silsden;Bradford West;Red - Fault Level;Red - Fault Level;Red;Red;53.95629217093639, -2.035044542135826;116.09625816345199
Jarrow;432099.0;565187.0;Primary;11.0;24.0;1.30999994277954;4.5;1.0;0.0;0.0;25.3099999427795;19.5;10.1408;13.1;27.3277;33.4;1.04282510280609;1.0;Voltage Constraint;No;No Voltage Constraint;G;Jarrow;No;South Shields;South Shields;"Red - Fault Level; Red - Voltage";Red - Fault Level;Red;Red;54.98025917378352, -1.4999973669010007;104.282510280609
Jordanthorpe;436084.0;381626.0;GSP;33.0;120.0;12.0;55.0;1.0;160.0;2.736;0.0;62.264;15.5;17.5;43.4;43.7;0.993135035037994;0.0;Data Not Available;NGET;Data Not Available;G;Jordanthorpe;NGET;NGET;Jordanthorpe;Red - Fault Level;Red - Fault Level;Red;Red;53.330324131012866, -1.4596500200791411;99.31350350379941
Keighley Direct;406280.0;440967.0;Primary;11.0;39.0;2.0;17.0;1.0;0.14;1.8;0.0;20.2;9.405071;13.1216;26.58747;32.80399;0.921568632125854;9.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Keighley;Upstream Constraint;Keighley;Bradford West;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.86488193509019, -1.905990351419905;92.1568632125854
Kenmore Road;431721.0;424654.0;Primary;11.0;24.0;3.22000002861023;18.1000003814697;1.0;0.0;0.0;27.2200000286102;5.89999961853027;10.71511;19.94483;28.952;49.86207;0.747168660163879;10.0;No Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Kenmore Road;No;Wakefield North;Skelton Grange;Green;Green;Green;Green;53.71734080685506, -1.5208167085113342;74.7168660163879
Kenton;422270.0;567606.0;Primary;11.0;24.0;4.51000022888184;13.460000038147;0.0;0.0;0.0;0.0;10.539999961853;8.65;13.1;24.95;32.8;0.843520045280457;5.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Kenton;No;Blucher;Stella North;Green;Green;Green;Green;55.00253027986301, -1.6533807912772103;84.3520045280457
Killinghall Road;418609.0;433421.0;Primary;11.0;8.0;0.0;0.769999980926514;0.0;0.0;0.0;0.0;0.0;5.661045;13.1216;14.14229;32.80399;0.921568632125854;9.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Killinghall Road;Upstream Constraint;Bradford;Bradford West;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.79676717300373, -1.7189713051080198;92.1568632125854
Kilnhurst;445446.0;397004.0;Primary;11.0;30.0;3.90000009536743;16.3369998931885;1.0;0.0;0.0;0.0;13.6630001068115;10.02629;19.99731;26.72715;49.99329;1.0;6.0;No Voltage Constraint;Upstream Constraint;No Voltage Constraint;R;Kilnhurst;No;West Melton;West Melton Section 3;Red - Fault Level;Red - Fault Level;Red;Red;53.46782136651562, -1.3168773691487132;100.0
Kirkhaw Lane;447808.0;425060.0;Supply Point;33.0;117.0;12.6400003433228;48.9000015258789;1.0;25.329;13.722;0.0;54.3779984741211;13.60182;17.49546;39.62081;43.73866;0.910400032997131;0.0;Data Not Available;NO;Data Not Available;R;Kirkhaw Lane;NO;Ferrybridge B;Ferrybridge B;Amber - Fault Level;Amber - Fault Level;Amber;Amber;53.7197675241599, -1.2770092279456473;91.0400032997131
Leasowe Road;431424.0;430782.0;Primary;11.0;23.0;3.10999989509583;10.6099996566772;0.5;0.0;0.0;14.6099998950958;12.3900003433228;9.445877;13.1216;26.00517;32.80399;0.792744100093842;5.0;No Voltage Constraint;GSP Constraint;No Voltage Constraint;R;Leasowe Road;No;Low Road;Skelton Grange;Green;Green;Green;Green;53.77243549596883, -1.5246961029425437;79.2744100093842
Leeming Bar/Skeeby;428797.0;492550.0;Supply Point;33.0;141.0;-23.5230007171631;89.1179962158203;1.0;318.688;5.059;0.0;0.0;14.39;17.5;35.84;44.6;0.822285711765289;0.0;Data Not Available;NO;Data Not Available;R;Leeming Bar/Skeeby;Upstream Constraint;Norton;Norton;Green;Green;Green;Green;54.327715095268864, -1.5587135290012026;82.2285711765289
